Id no.,Dex no.,id,Species,Type 1,Type 2,HP Group,Starting HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,size helper,,,Size Class,weight helper,Weight Class,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Region,Relevant?
352,282,gardevoir-default,Gardevoir,Psychic,Fairy,+1d6/lvl,20,6,6,12,11,8,5,3,63,Medium,106.7,Medium,Human-Like,Amorphous,Synchronize,Trace,Telepathy,Hoenn,
353,282,gardevoir-mega-evolution,Mega Gardevoir,Psychic,Fairy,+1d6/lvl,20,8,6,16,13,10,5,3,63,Medium,106.7,Medium,Human-Like,Amorphous,Pixilate,,,Hoenn,
354,283,surskit-default,Surskit,Bug,Water,+1d4/lvl,19,3,3,5,5,6,1,8,20,Small,3.75,Feather,Water 1,Bug,Swift Swim,,Rain Dish,Hoenn,y
355,284,masquerain-default,Masquerain,Bug,Flying,+1d8/lvl,21,6,6,10,8,8,2,7,31,Small,7.94,Feather,Water 1,Bug,Intimidate,,Unnerve,Hoenn,
356,285,shroomish-default,Shroomish,Grass,,+1d6/lvl,20,4,6,4,6,3,1,4,16,Small,9.92,Feather,Fairy,Grass,Effect Spore,Poison Heal,Quick Feet,Hoenn,y
357,286,breloom-default,Breloom,Grass,Fighting,+1d6/lvl,20,13,8,6,6,7,3,11,47,Medium,86.42,Light,Fairy,Grass,Effect Spore,Poison Heal,Technician,Hoenn,
358,287,slakoth-default,Slakoth,Normal,,+1d6/lvl,20,6,6,3,3,3,2,7,31,Small,52.91,Light,Field,,Truant,,,Hoenn,y
359,288,vigoroth-default,Vigoroth,Normal,,+1d8/lvl,21,8,8,5,5,9,4,7,55,Medium,102.51,Medium,Field,,Vital Spirit,,,Hoenn,
360,289,slaking-default,Slaking,Normal,,+1d12/lvl,23,16,10,9,6,10,6,7,79,Medium,287.7,Heavy,Field,,Truant,,,Hoenn,
361,290,nincada-default,Nincada,Bug,Ground,+1d4/lvl,19,4,9,3,3,4,1,8,20,Small,12.13,Light,Bug,,Compound Eyes,,Run Away,Hoenn,y
362,291,ninjask-default,Ninjask,Bug,Flying,+1d6/lvl,20,9,4,5,5,16,2,7,31,Small,26.46,Light,Bug,,Speed Boost,,Infiltrator,Hoenn,
363,292,shedinja-default,Shedinja,Bug,Ghost,+1d4/lvl,19,9,4,3,3,4,2,7,31,Small,2.65,Feather,Mineral,,Wonder Guard,,,Hoenn,
364,293,whismur-default,Whismur,Normal,,+1d6/lvl,20,5,2,5,2,2,1,12,24,Small,35.94,Light,Monster,Field,Soundproof,,Rattled,Hoenn,y
365,294,loudred-default,Loudred,Normal,,+1d8/lvl,21,7,4,7,4,4,3,3,39,Small,89.29,Light,Monster,Field,Soundproof,,Scrappy,Hoenn,
366,295,exploud-default,Exploud,Normal,,+1d10/lvl,22,9,6,9,7,6,4,11,59,Medium,185.19,Medium,Monster,Field,Soundproof,,Scrappy,Hoenn,
367,296,makuhita-default,Makuhita,Fighting,,+1d8/lvl,21,6,3,2,3,2,3,3,39,Small,190.48,Medium,Human-Like,,Thick Fat,Guts,Sheer Force,Hoenn,y
368,297,hariyama-default,Hariyama,Fighting,,+1d12/lvl,23,12,6,4,6,5,7,7,91,Large,559.53,Massive,Human-Like,,Thick Fat,Guts,Sheer Force,Hoenn,
369,298,azurill-default,Azurill,Normal,Fairy,+1d6/lvl,20,2,4,2,4,2,0,8,8,Small,4.41,Feather,No Eggs Discovered,,Thick Fat,Huge Power,Sap Sipper,Hoenn,y
370,299,nosepass-default,Nosepass,Rock,,+1d4/lvl,19,4,13,4,9,3,3,3,39,Small,213.85,Medium,Mineral,,Sturdy,Magnet Pull,Sand Force,Hoenn,y
371,300,skitty-default,Skitty,Normal,,+1d6/lvl,20,4,4,3,3,5,1,12,24,Small,24.25,Light,Field,Fairy,Cute Charm,Normalize,Wonder Skin,Hoenn,y
372,301,delcatty-default,Delcatty,Normal,,+1d8/lvl,21,6,6,5,5,9,3,7,43,Medium,71.87,Light,Field,Fairy,Cute Charm,Normalize,Wonder Skin,Hoenn,
373,302,sableye-default,Sableye,Dark,Ghost,+1d6/lvl,20,7,7,6,6,5,1,8,20,Small,24.25,Light,Human-Like,,Keen Eye,Stall,Prankster,Hoenn,y
374,302,sableye-mega-evolution,Mega Sableye,Dark,Ghost,+1d6/lvl,20,8,12,8,11,2,1,8,20,Small,354.94,Heavy,Human-Like,,Magic Bounce,,,Hoenn,
375,303,mawile-default,Mawile,Steel,Fairy,+1d6/lvl,20,8,8,5,5,5,1,12,24,Small,25.35,Light,Field,Fairy,Hyper Cutter,Intimidate,Sheer Force,Hoenn,y
376,303,mawile-mega-evolution,Mega Mawile,Steel,Fairy,+1d6/lvl,20,10,12,5,9,5,3,3,39,Small,51.81,Light,Field,Fairy,Huge Power,,,Hoenn,
377,304,aron-default,Aron,Steel,Rock,+1d6/lvl,20,7,10,4,4,3,1,4,16,Small,132.28,Medium,Monster,,Sturdy,Rock Head,Heavy Metal,Hoenn,y
378,305,lairon-default,Lairon,Steel,Rock,+1d6/lvl,20,9,14,5,5,4,2,11,35,Small,264.55,Heavy,Monster,,Sturdy,Rock Head,Heavy Metal,Hoenn,
379,306,aggron-default,Aggron,Steel,Rock,+1d8/lvl,21,11,18,6,6,5,6,11,83,Medium,793.66,Massive,Monster,,Sturdy,Rock Head,Heavy Metal,Hoenn,
380,306,aggron-mega-evolution,Mega Aggron,Steel,,+1d8/lvl,21,14,23,6,8,5,7,3,87,Large,870.82,Massive,Monster,,Filter,,,Hoenn,
381,307,meditite-default,Meditite,Fighting,Psychic,+1d4/lvl,19,4,5,4,5,6,1,12,24,Small,24.69,Light,Human-Like,,Pure Power,,Telepathy,Hoenn,y
382,308,medicham-default,Medicham,Fighting,Psychic,+1d6/lvl,20,6,7,6,7,8,4,3,51,Medium,69.45,Light,Human-Like,,Pure Power,,Telepathy,Hoenn,
383,308,medicham-mega-evolution,Mega Medicham,Fighting,Psychic,+1d6/lvl,20,10,8,8,8,10,4,3,51,Medium,69.45,Light,Human-Like,,Pure Power,,,Hoenn,
384,309,electrike-default,Electrike,Electric,,+1d4/lvl,19,4,4,6,4,6,1,12,24,Small,33.51,Light,Field,,Static,Lightning Rod,Minus,Hoenn,y
385,310,manectric-default,Manectric,Electric,,+1d8/lvl,21,7,6,10,6,10,4,11,59,Medium,88.63,Light,Field,,Static,Lightning Rod,Minus,Hoenn,
386,310,manectric-mega-evolution,Mega Manectric,Electric,,+1d8/lvl,21,7,8,13,8,13,5,11,71,Medium,97,Light,Field,,Intimidate,,,Hoenn,
387,311,plusle-default,Plusle,Electric,,+1d6/lvl,20,5,4,8,7,9,1,4,16,Small,9.26,Feather,Fairy,,Plus,,Lightning Rod,Hoenn,y
388,312,minun-default,Minun,Electric,,+1d6/lvl,20,4,5,7,8,9,1,4,16,Small,9.26,Feather,Fairy,,Minus,,Volt Absorb,Hoenn,y
389,313,volbeat-default,Volbeat,Bug,,+1d6/lvl,20,7,7,4,8,8,2,4,28,Small,39.02,Light,Bug,Human-Like,Illuminate,Swarm,Prankster,Hoenn,y
390,314,illumise-default,Illumise,Bug,,+1d6/lvl,20,4,7,7,8,8,1,12,24,Small,39.02,Light,Bug,Human-Like,Oblivious,Tinted Lens,Prankster,Hoenn,y
391,315,roselia-default,Roselia,Grass,Poison,+1d6/lvl,20,6,4,10,8,6,0,12,12,Small,4.41,Feather,Fairy,Grass,Natural Cure,Poison Point,Leaf Guard,Hoenn,y
392,316,gulpin-default,Gulpin,Poison,,+1d8/lvl,21,4,5,4,5,4,1,4,16,Small,22.71,Light,Amorphous,,Liquid Ooze,Sticky Hold,Gluttony,Hoenn,y
393,317,swalot-default,Swalot,Poison,,+1d10/lvl,22,7,8,7,8,5,5,7,67,Medium,176.37,Medium,Amorphous,,Liquid Ooze,Sticky Hold,Gluttony,Hoenn,
394,318,carvanha-default,Carvanha,Water,Dark,+1d6/lvl,20,9,2,6,2,6,2,7,31,Small,45.86,Light,Water 2,,Rough Skin,,Speed Boost,Hoenn,y
395,319,sharpedo-default,Sharpedo,Water,Dark,+1d8/lvl,21,12,4,9,4,9,5,11,71,Medium,195.77,Medium,Water 2,,Rough Skin,,Speed Boost,Hoenn,
396,319,sharpedo-mega-evolution,Mega Sharpedo,Water,Dark,+1d8/lvl,21,14,7,11,6,10,8,2,98,Large,287.26,Heavy,Water 2,,Strong Jaw,,,Hoenn,
397,320,wailmer-default,Wailmer,Water,,+1d12/lvl,23,7,3,7,3,6,6,7,79,Medium,286.6,Heavy,Field,Water 2,Water Veil,Oblivious,Pressure,Hoenn,y
398,321,wailord-default,Wailord,Water,,+1d12/lvl,23,9,4,9,4,6,47,7,571,Gargantuan,877.44,Massive,Field,Water 2,Water Veil,Oblivious,Pressure,Hoenn,
399,322,numel-default,Numel,Fire,Ground,+1d6/lvl,20,6,4,6,4,3,2,4,28,Small,52.91,Light,Field,,Oblivious,Simple,Own Tempo,Hoenn,y
400,323,camerupt-default,Camerupt,Fire,Ground,+1d8/lvl,21,10,7,10,7,4,6,3,75,Medium,485.02,Heavy,Field,,Magma Armor,Solid Rock,Anger Point,Hoenn,
401,323,camerupt-mega-evolution,Mega Camerupt,Fire,Ground,+1d8/lvl,21,12,10,14,10,2,8,2,98,Large,706.58,Massive,Field,,Sheer Force,Solid Rock,,Hoenn,
402,324,torkoal-default,Torkoal,Fire,,+1d8/lvl,21,8,14,8,7,2,1,8,20,Small,177.25,Medium,Field,,White Smoke,Drought,Shell Armor,Hoenn,y
403,325,spoink-default,Spoink,Psychic,,+1d6/lvl,20,2,3,7,8,6,2,4,28,Small,67.46,Light,Field,,Thick Fat,Own Tempo,Gluttony,Hoenn,y
404,326,grumpig-default,Grumpig,Psychic,,+1d8/lvl,21,4,6,9,11,8,2,11,35,Small,157.63,Medium,Field,,Thick Fat,Own Tempo,Gluttony,Hoenn,
405,327,spinda-default,Spinda,Normal,,+1d6/lvl,20,6,6,6,6,6,3,7,43,Medium,11.02,Light,Field,Human-Like,Own Tempo,Tangled Feet,Contrary,Hoenn,y
406,328,trapinch-default,Trapinch,Ground,,+1d6/lvl,20,10,4,4,4,1,2,4,28,Small,33.07,Light,Bug,Dragon,Hyper Cutter,Arena Trap,Sheer Force,Hoenn,y
407,329,vibrava-default,Vibrava,Ground,Dragon,+1d6/lvl,20,7,5,5,5,7,3,7,43,Medium,33.73,Light,Bug,Dragon,Levitate,,,Hoenn,
408,330,flygon-default,Flygon,Ground,Dragon,+1d8/lvl,21,10,8,8,8,10,6,7,79,Medium,180.78,Medium,Bug,Dragon,Levitate,,,Hoenn,
409,331,cacnea-default,Cacnea,Grass,,+1d6/lvl,20,8,4,8,4,3,1,4,16,Small,113.1,Medium,Grass,Human-Like,Sand Veil,,Water Absorb,Hoenn,y
410,332,cacturne-default,Cacturne,Grass,Dark,+1d8/lvl,21,11,6,11,6,5,4,3,51,Medium,170.64,Medium,Grass,Human-Like,Sand Veil,,Water Absorb,Hoenn,
411,333,swablu-default,Swablu,Normal,Flying,+1d6/lvl,20,4,6,4,7,5,1,4,16,Small,2.65,Feather,Flying,Dragon,Natural Cure,,Cloud Nine,Hoenn,y
412,334,altaria-default,Altaria,Dragon,Flying,+1d8/lvl,21,7,9,7,10,8,3,7,43,Medium,45.42,Light,Flying,Dragon,Natural Cure,,Cloud Nine,Hoenn,
413,334,altaria-mega-evolution,Mega Altaria,Dragon,Fairy,+1d8/lvl,21,11,11,11,10,8,4,11,59,Medium,45.42,Light,Flying,Dragon,Pixilate,,,Hoenn,
414,335,zangoose-default,Zangoose,Normal,,+1d8/lvl,21,11,6,6,6,9,4,3,51,Medium,88.85,Light,Field,,Immunity,,Toxic Boost,Hoenn,y
415,336,seviper-default,Seviper,Poison,,+1d8/lvl,21,10,6,10,6,6,8,10,106,Large,115.74,Medium,Field,Dragon,Shed Skin,,Infiltrator,Hoenn,y
416,337,lunatone-default,Lunatone,Rock,Psychic,+1d8/lvl,21,5,6,9,8,7,3,3,39,Small,370.38,Heavy,Mineral,,Levitate,,,Hoenn,y
417,338,solrock-default,Solrock,Rock,Psychic,+1d8/lvl,21,9,8,5,6,7,3,11,47,Medium,339.51,Heavy,Mineral,,Levitate,,,Hoenn,y
418,339,barboach-default,Barboach,Water,Ground,+1d6/lvl,20,4,4,4,4,6,1,4,16,Small,4.19,Feather,Water 2,,Oblivious,Anticipation,Hydration,Hoenn,y
419,340,whiscash-default,Whiscash,Water,Ground,+1d10/lvl,22,7,7,7,7,6,2,11,35,Small,52.03,Light,Water 2,,Oblivious,Anticipation,Hydration,Hoenn,
420,341,corphish-default,Corphish,Water,,+1d4/lvl,19,8,6,5,3,3,1,12,24,Small,25.35,Light,Water 1,Water 3,Hyper Cutter,Shell Armor,Adaptability,Hoenn,y
421,342,crawdaunt-default,Crawdaunt,Water,Dark,+1d6/lvl,20,12,8,9,5,5,3,7,43,Medium,72.31,Light,Water 1,Water 3,Hyper Cutter,Shell Armor,Adaptability,Hoenn,
422,343,baltoy-default,Baltoy,Ground,Psychic,+1d4/lvl,19,4,5,4,7,5,1,8,20,Small,47.4,Light,Mineral,,Levitate,,,Hoenn,y
423,344,claydol-default,Claydol,Ground,Psychic,+1d6/lvl,20,7,10,7,12,7,4,11,59,Medium,238.1,Medium,Mineral,,Levitate,,,Hoenn,
424,345,lileep-default,Lileep,Rock,Grass,+1d6/lvl,20,4,7,6,8,2,3,3,39,Small,52.47,Light,Water 3,,Suction Cups,,Storm Drain,Hoenn,y
425,346,cradily-default,Cradily,Rock,Grass,+1d8/lvl,21,8,9,8,10,4,4,11,59,Medium,133.16,Medium,Water 3,,Suction Cups,,Storm Drain,Hoenn,
426,347,anorith-default,Anorith,Rock,Bug,+1d6/lvl,20,9,5,4,5,7,2,4,28,Small,27.56,Light,Water 3,,Battle Armor,,Swift Swim,Hoenn,y
427,348,armaldo-default,Armaldo,Rock,Bug,+1d8/lvl,21,12,10,7,8,4,4,11,59,Medium,150.36,Medium,Water 3,,Battle Armor,,Swift Swim,Hoenn,
428,349,feebas-default,Feebas,Water,,+1d4/lvl,19,1,2,1,5,8,1,12,24,Small,16.31,Light,Water 1,Dragon,Swift Swim,Oblivious,Adaptability,Hoenn,y
429,350,milotic-default,Milotic,Water,,+1d10/lvl,22,6,7,10,12,8,20,4,244,Gargantuan,357.15,Heavy,Water 1,Dragon,Marvel Scale,Competitive,Cute Charm,Hoenn,
430,351,castform-default,Castform,Normal,,+1d8/lvl,21,7,7,7,7,7,0,12,12,Small,1.76,Feather,Fairy,Amorphous,Forecast,,,Hoenn,y
431,351,castform-sunny,Sunny Castform,Fire,,+1d8/lvl,21,7,7,7,7,7,0,12,12,Small,1.76,Feather,Fairy,Amorphous,Forecast,,,Hoenn,
432,351,castform-rainy,Rainy Castform,Water,,+1d8/lvl,21,7,7,7,7,7,0,12,12,Small,1.76,Feather,Fairy,Amorphous,Forecast,,,Hoenn,
433,351,castform-snowy,Snowy Castform,Ice,,+1d8/lvl,21,7,7,7,7,7,0,12,12,Small,1.76,Feather,Fairy,Amorphous,Forecast,,,Hoenn,
434,352,kecleon-default,Kecleon,Normal,,+1d6/lvl,20,9,7,6,12,4,3,3,39,Small,48.5,Light,Field,,Color Change,,Protean,Hoenn,y
435,353,shuppet-default,Shuppet,Ghost,,+1d4/lvl,19,7,3,6,3,4,1,12,24,Small,5.07,Feather,Amorphous,,Insomnia,Frisk,Cursed Body,Hoenn,y
436,354,banette-default,Banette,Ghost,,+1d6/lvl,20,11,6,8,6,6,3,7,43,Medium,27.56,Light,Amorphous,,Insomnia,Frisk,Cursed Body,Hoenn,
437,354,banette-mega-evolution,Mega Banette,Ghost,,+1d6/lvl,20,16,7,9,8,7,3,11,47,Medium,28.66,Light,Amorphous,,Prankster,,,Hoenn,
438,355,duskull-default,Duskull,Ghost,,+1d4/lvl,19,4,9,3,9,2,2,7,31,Small,33.07,Light,Amorphous,,Levitate,Frisk,,Hoenn,y
439,356,dusclops-default,Dusclops,Ghost,,+1d4/lvl,19,7,13,6,13,2,5,3,63,Medium,67.46,Light,Amorphous,,Pressure,Frisk,,Hoenn,
440,357,tropius-default,Tropius,Grass,Flying,+1d10/lvl,22,6,8,7,8,5,6,7,79,Medium,220.46,Medium,Monster,Grass,Chlorophyll,Solar Power,Harvest,Hoenn,y
441,358,chimecho-default,Chimecho,Psychic,,+1d8/lvl,21,5,8,9,9,6,1,12,24,Small,2.2,Feather,Amorphous,,Levitate,,,Hoenn,y
442,359,absol-default,Absol,Dark,,+1d6/lvl,20,13,6,7,6,7,3,11,47,Medium,103.62,Medium,Field,,Pressure,Super Luck,Justified,Hoenn,y
443,359,absol-mega-evolution,Mega Absol,Dark,,+1d6/lvl,20,15,6,11,6,11,3,11,47,Medium,108.03,Medium,Field,,Magic Bounce,,,Hoenn,
444,360,wynaut-default,Wynaut,Psychic,,+1d10/lvl,22,2,4,2,4,2,1,12,24,Small,30.86,Light,No Eggs Discovered,,Shadow Tag,,Telepathy,Hoenn,y
445,361,snorunt-default,Snorunt,Ice,,+1d6/lvl,20,5,5,5,5,5,2,4,28,Small,37.04,Light,Fairy,Mineral,Inner Focus,Ice Body,Moody,Hoenn,y
446,362,glalie-default,Glalie,Ice,,+1d8/lvl,21,8,8,8,8,8,4,11,59,Medium,565.49,Massive,Fairy,Mineral,Inner Focus,Ice Body,Moody,Hoenn,
447,362,glalie-mega-evolution,Mega Glalie,Ice,,+1d8/lvl,21,12,8,12,8,10,6,11,83,Medium,772.06,Massive,Fairy,Mineral,Refrigerate,,,Hoenn,
448,363,spheal-default,Spheal,Ice,Water,+1d8/lvl,21,4,5,5,5,2,2,7,31,Small,87.08,Light,Water 1,Field,Thick Fat,Ice Body,Oblivious,Hoenn,y
449,364,sealeo-default,Sealeo,Ice,Water,+1d8/lvl,21,6,7,7,7,4,3,7,43,Medium,193.12,Medium,Water 1,Field,Thick Fat,Ice Body,Oblivious,Hoenn,
450,365,walrein-default,Walrein,Ice,Water,+1d10/lvl,22,8,9,9,9,6,4,7,55,Medium,332.02,Heavy,Water 1,Field,Thick Fat,Ice Body,Oblivious,Hoenn,
451,366,clamperl-default,Clamperl,Water,,+1d4/lvl,19,6,8,7,5,3,1,4,16,Small,115.74,Medium,Water 1,,Shell Armor,,Rattled,Hoenn,y
452,367,huntail-default,Huntail,Water,,+1d6/lvl,20,10,10,9,7,5,5,7,67,Medium,59.52,Light,Water 1,,Swift Swim,,Water Veil,Hoenn,
453,368,gorebyss-default,Gorebyss,Water,,+1d6/lvl,20,8,10,11,7,5,5,11,71,Medium,49.82,Light,Water 1,,Swift Swim,,Hydration,Hoenn,
454,369,relicanth-default,Relicanth,Water,Rock,+1d10/lvl,22,9,13,4,6,5,3,3,39,Small,51.59,Light,Water 1,Water 2,Swift Swim,Rock Head,Sturdy,Hoenn,y
455,370,luvdisc-default,Luvdisc,Water,,+1d4/lvl,19,3,5,4,6,9,1,12,24,Small,19.18,Light,Water 2,,Swift Swim,,Hydration,Hoenn,y
456,371,bagon-default,Bagon,Dragon,,+1d6/lvl,20,7,6,4,3,5,1,12,24,Small,92.81,Light,Dragon,,Rock Head,,Sheer Force,Hoenn,y
457,372,shelgon-default,Shelgon,Dragon,,+1d6/lvl,20,9,10,6,5,5,3,7,43,Medium,243.61,Medium,Dragon,,Rock Head,,Overcoat,Hoenn,
458,373,salamence-default,Salamence,Dragon,Flying,+1d10/lvl,22,13,8,11,8,10,4,11,59,Medium,226.19,Medium,Dragon,,Intimidate,,Moxie,Hoenn,
459,373,salamence-mega-evolution,Mega Salamence,Dragon,Flying,+1d10/lvl,22,14,13,12,9,12,5,11,71,Medium,248.24,Medium,Dragon,,Aerilate,,,Hoenn,
460,374,beldum-default,Beldum,Steel,Psychic,+1d4/lvl,19,5,8,3,6,3,1,12,24,Small,209.88,Medium,Mineral,,Clear Body,,Light Metal,Hoenn,y
461,375,metang-default,Metang,Steel,Psychic,+1d6/lvl,20,7,10,5,8,5,3,11,47,Medium,446.44,Heavy,Mineral,,Clear Body,,Light Metal,Hoenn,
462,376,metagross-default,Metagross,Steel,Psychic,+1d8/lvl,21,13,13,9,9,7,5,3,63,Medium,1212.54,Massive,Mineral,,Clear Body,,Light Metal,Hoenn,
463,376,metagross-mega-evolution,Mega Metagross,Steel,Psychic,+1d8/lvl,21,14,15,10,11,11,8,2,98,Large,2078.74,Massive,Mineral,,Tough Claws,,,Hoenn,
464,377,regirock-default,Regirock,Rock,,+1d8/lvl,21,10,20,5,10,5,5,7,67,Medium,507.06,Massive,No Eggs Discovered,,Clear Body,,Sturdy,Hoenn,y
465,378,regice-default,Regice,Ice,,+1d8/lvl,21,5,10,10,20,5,5,11,71,Medium,385.81,Heavy,No Eggs Discovered,,Clear Body,,Ice Body,Hoenn,y
466,379,registeel-default,Registeel,Steel,,+1d8/lvl,21,7,15,7,15,5,6,3,75,Medium,451.95,Heavy,No Eggs Discovered,,Clear Body,,Light Metal,Hoenn,y
467,380,latias-default,Latias,Dragon,Psychic,+1d8/lvl,21,8,9,11,13,11,4,7,55,Medium,88.18,Light,No Eggs Discovered,,Levitate,,,Hoenn,y
468,380,latias-mega-evolution,Mega Latias,Dragon,Psychic,+1d8/lvl,21,10,12,14,15,11,5,11,71,Medium,114.64,Medium,No Eggs Discovered,,Levitate,,,Hoenn,
469,381,latios-default,Latios,Dragon,Psychic,+1d8/lvl,21,9,8,13,11,11,6,7,79,Medium,132.28,Medium,No Eggs Discovered,,Levitate,,,Hoenn,y
470,381,latios-mega-evolution,Mega Latios,Dragon,Psychic,+1d8/lvl,21,13,10,16,12,11,7,7,91,Large,154.32,Medium,No Eggs Discovered,,Levitate,,,Hoenn,
471,382,kyogre-default,Kyogre,Water,,+1d10/lvl,22,10,9,15,14,9,14,9,177,Large,776.03,Massive,No Eggs Discovered,,Drizzle,,,Hoenn,y
472,382,kyogre-primal,Primal Kyogre,Water,,+1d10/lvl,22,15,9,18,16,9,32,2,386,Gargantuan,947.99,Massive,No Eggs Discovered,,Primordial Sea,,,Hoenn,
473,383,groudon-default,Groudon,Ground,,+1d10/lvl,22,15,14,10,9,9,11,6,138,Large,2094.39,Massive,No Eggs Discovered,,Drought,,,Hoenn,y
474,383,groudan-primal,Primal Groudan,Ground,Fire,+1d10/lvl,22,18,16,15,9,9,16,5,197,Huge,2203.96,Massive,No Eggs Discovered,,Desolate Land,,,Hoenn,
475,384,rayquaza-default,Rayquaza,Dragon,Flying,+1d10/lvl,22,15,9,15,9,9,22,12,276,Gargantuan,455.25,Heavy,No Eggs Discovered,,Air Lock,,,Hoenn,y
476,384,rayquaza-mega-evolution,Mega Rayquaza,Dragon,Flying,+1d10/lvl,22,18,10,18,10,11,35,5,425,Gargantuan,864.21,Massive,No Eggs Discovered,,Delta Stream,,,Hoenn,
477,385,jirachi-default,Jirachi,Steel,Psychic,+1d10/lvl,22,10,10,10,10,10,0,12,12,Small,2.43,Feather,No Eggs Discovered,,Serene Grace,,,Hoenn,y
478,386,deoxys-default,Deoxys,Psychic,,+1d6/lvl,20,15,5,15,5,15,5,7,67,Medium,134.04,Medium,No Eggs Discovered,,Pressure,,,Hoenn,y
479,386,deoxys-attack,Attack Deoxys,Psychic,,+1d6/lvl,20,18,2,18,2,15,5,7,67,Medium,134.04,Medium,No Eggs Discovered,,Pressure,,,Hoenn,y
480,386,deoxys-defense,Defense Deoxys,Psychic,,+1d6/lvl,20,7,16,7,16,9,5,7,67,Medium,134.04,Medium,No Eggs Discovered,,Pressure,,,Hoenn,y
481,386,deoxys-speed,Speed Deoxys,Psychic,,+1d6/lvl,20,9,9,9,9,18,5,7,67,Medium,134.04,Medium,No Eggs Discovered,,Pressure,,,Hoenn,y
482,387,turtwig-default,Turtwig,Grass,,+1d6/lvl,20,6,6,4,5,3,1,4,16,Small,22.49,Light,Monster,Grass,Overgrow,,Shell Armor,Sinnoh,y
483,388,grotle-default,Grotle,Grass,,+1d8/lvl,21,8,8,5,6,3,3,7,43,Medium,213.85,Medium,Monster,Grass,Overgrow,,Shell Armor,Sinnoh,
484,389,torterra-default,Torterra,Grass,Ground,+1d10/lvl,22,10,10,7,8,5,7,3,87,Large,683.43,Massive,Monster,Grass,Overgrow,,Shell Armor,Sinnoh,
485,390,chimchar-default,Chimchar,Fire,,+1d4/lvl,19,5,4,5,4,6,1,8,20,Small,13.67,Light,Field,Human-Like,Blaze,,Iron Fist,Sinnoh,y
486,391,monferno-default,Monferno,Fire,Fighting,+1d6/lvl,20,7,5,7,5,8,2,11,35,Small,48.5,Light,Field,Human-Like,Blaze,,Iron Fist,Sinnoh,
487,392,infernape-default,Infernape,Fire,Fighting,+1d8/lvl,21,10,7,10,7,10,3,11,47,Medium,121.25,Medium,Field,Human-Like,Blaze,,Iron Fist,Sinnoh,
488,393,piplup-default,Piplup,Water,,+1d6/lvl,20,5,5,6,5,4,1,4,16,Small,11.46,Light,Water 1,Field,Torrent,,Defiant,Sinnoh,y
489,394,prinplup-default,Prinplup,Water,,+1d6/lvl,20,6,6,8,7,5,2,7,31,Small,50.71,Light,Water 1,Field,Torrent,,Defiant,Sinnoh,
490,395,empoleon-default,Empoleon,Water,Steel,+1d8/lvl,21,8,8,11,10,6,5,7,67,Medium,186.29,Medium,Water 1,Field,Torrent,,Defiant,Sinnoh,
491,396,starly-default,Starly,Normal,Flying,+1d4/lvl,19,5,3,3,3,6,0,12,12,Small,4.41,Feather,Flying,,Keen Eye,,Reckless,Sinnoh,y
492,397,staravia-default,Staravia,Normal,Flying,+1d6/lvl,20,7,5,4,4,8,1,12,24,Small,34.17,Light,Flying,,Intimidate,,Reckless,Sinnoh,
493,398,staraptor-default,Staraptor,Normal,Flying,+1d8/lvl,21,12,7,5,6,10,3,11,47,Medium,54.9,Light,Flying,,Intimidate,,Reckless,Sinnoh,
494,399,bidoof-default,Bidoof,Normal,,+1d6/lvl,20,4,4,3,4,3,1,8,20,Small,44.09,Light,Water 1,Field,Simple,Unaware,Moody,Sinnoh,y
495,400,bibarel-default,Bibarel,Normal,Water,+1d8/lvl,21,8,6,5,6,7,3,3,39,Small,69.45,Light,Water 1,Field,Simple,Unaware,Moody,Sinnoh,
496,401,kricketot-default,Kricketot,Bug,,+1d4/lvl,19,2,4,2,4,2,0,12,12,Small,4.85,Feather,Bug,,Shed Skin,,Run Away,Sinnoh,y
497,402,kricketune-default,Kricketune,Bug,,+1d8/lvl,21,8,5,5,5,6,3,3,39,Small,56.22,Light,Bug,,Swarm,,Technician,Sinnoh,
498,403,shinx-default,Shinx,Electric,,+1d6/lvl,20,6,3,4,3,4,1,8,20,Small,20.94,Light,Field,,Rivalry,Intimidate,Guts,Sinnoh,y
499,404,luxio-default,Luxio,Electric,,+1d6/lvl,20,8,4,6,4,6,2,11,35,Small,67.24,Light,Field,,Rivalry,Intimidate,Guts,Sinnoh,
500,405,luxray-default,Luxray,Electric,,+1d8/lvl,21,12,7,9,7,7,4,7,55,Medium,92.59,Light,Field,,Rivalry,Intimidate,Guts,Sinnoh,
501,406,budew-default,Budew,Grass,Poison,+1d4/lvl,19,3,3,5,7,5,0,8,8,Small,2.65,Feather,No Eggs Discovered,,Natural Cure,Poison Point,Leaf Guard,Sinnoh,y
502,407,roserade-default,Roserade,Grass,Poison,+1d6/lvl,20,7,6,12,10,9,2,11,35,Small,31.97,Light,Fairy,Grass,Natural Cure,Poison Point,Technician,Sinnoh,
503,408,cranidos-default,Cranidos,Rock,,+1d6/lvl,20,12,4,3,3,5,2,11,35,Small,69.45,Light,Monster,,Mold Breaker,,Sheer Force,Sinnoh,y
504,409,rampardos-default,Rampardos,Rock,,+1d10/lvl,22,16,6,6,5,5,5,3,63,Medium,225.97,Medium,Monster,,Mold Breaker,,Sheer Force,Sinnoh,
